epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,gain_mean,update_norm_mean
1,2.3081629848480225,2.3081629848480225,0.09916666666666667,2.3046356868743896,0.1,0.1,0.04880348254243533,1.8117477159500122
2,2.3061020762125652,2.3061020762125652,0.09641666666666666,2.303979684829712,0.1,0.1,0.04723082928856214,2.1170377407073975
3,2.303951549530029,2.303951549530029,0.09875,2.303807931900024,0.1,0.1,0.04595282272497813,2.3202465279897053
4,2.304001708348592,2.304001708348592,0.09591666666666666,2.3035636501312258,0.1,0.1,0.04531162275870641,2.4072765757242838
5,2.303533327738444,2.303533327738444,0.10066666666666667,2.3038130722045898,0.1,0.1,0.04475860767563184,2.448307107925415
6,2.3043206119537354,2.3043206119537354,0.09608333333333334,2.3030797653198243,0.1,0.1,0.04483682969212532,2.595768461227417
7,2.303439586639404,2.303439586639404,0.10125,2.302875286102295,0.1,0.1,0.0449552913804849,2.625144224802653
8,2.3038210372924803,2.3038210372924803,0.09575,2.303208393096924,0.1,0.1,0.04464496674140295,2.6807357921600343
9,2.3039089673360187,2.3039089673360187,0.0965,2.3029980697631838,0.1,0.1,0.04549395140012105,2.657722714742025
10,2.3039164072672524,2.3039164072672524,0.10033333333333333,2.3032728366851805,0.1,0.1,0.045898727416992184,2.754572457631429
